p1_mean_hp,p1_mean_spe,p1_mean_atk,p1_mean_def,p1_mean_spa,p1_mean_spd,p2_lead_hp,p2_lead_spe,p2_lead_atk,p2_lead_def,p2_lead_spa,p2_lead_spd,diff_accuracy,diff_base_power,diff_null_moves,diff_boosts_score,switch_diff,diff_stab,diff_x4_eff,diff_x2_eff,diff_x0_5_eff,diff_x0_25_eff,p1_first_ko,p2_first_ko,p1_final_alive,p2_final_alive,p1_final_fainted,p2_final_fainted,p1_final_hp_sum,p2_final_hp_sum,p1_freeze_turns,p2_freeze_turns,p1_brn_turns,p2_brn_turns,p1_par_turns,p2_par_turns,p1_psn_turns,p2_psn_turns,p1_tox_turns,p2_tox_turns,p1_slp_turns,p2_slp_turns,p1_net_damage,p1_damage_ratio,battle_id,player_won
115.83333333333333,80.0,72.5,63.333333333333336,100.0,100.0,60,115,75,85,100,100,5,455,0.3666666666666667,0.13333333333333333,-5,0.2,0.0,0.2,0.16666666666666666,0.0,23,23,3,3,1,1,1.8728139904610492,0.6475021794617872,0,11,0,0,5,4,0,0,0,0,1,1,0.005121563861608169,1.0023075360969378,0,1
123.33333333333333,61.666666666666664,72.5,65.83333333333333,90.0,90.0,55,120,50,45,135,135,-3,556,0.0,0.13333333333333333,-3,0.2,0.0,0.0,0.1,0.0,14,31,3,6,3,0,1.58,2.5700000000000003,0,0,0,0,6,2,0,0,0,0,2,3,-1.16,0.5655430711610486,1,1
124.16666666666667,65.83333333333333,84.16666666666667,71.66666666666667,90.0,90.0,250,50,5,5,105,105,4,-244,0.16666666666666666,0.5333333333333333,1,0.36666666666666664,0.0,-0.06666666666666667,0.0,0.0,16,31,2,4,1,0,1.1800000000000002,2.16,0,0,0,0,8,4,0,0,0,0,6,10,0.7100000000000003,1.5182481751824821,2,1
121.66666666666667,75.83333333333333,77.5,65.83333333333333,103.33333333333333,103.33333333333333,75,110,100,95,70,70,6,-690,-0.06666666666666668,0.0,-2,-0.06666666666666667,0.0,0.03333333333333333,0.03333333333333333,0.0,3,31,2,4,3,0,1.04,0.86,0,0,0,0,17,0,0,0,0,0,0,5,-1.13,0.7146464646464645,3,1
114.16666666666667,72.5,75.83333333333333,79.16666666666667,97.5,97.5,60,115,75,85,100,100,5,-316,0.0,-0.13333333333333333,-3,0.03333333333333333,0.0,0.1,0.3333333333333333,0.0,28,31,4,5,1,0,2.7600000000000002,2.15,0,0,0,0,7,21,0,0,0,0,1,1,0.22000000000000008,1.0707395498392283,4,1
103.33333333333333,85.0,70.83333333333333,70.0,100.0,100.0,55,120,50,45,135,135,9,-418,0.033333333333333326,0.3333333333333333,-1,0.06666666666666667,0.0,-0.06666666666666667,-0.03333333333333333,0.0,31,31,6,5,0,0,4.27,2.28,0,0,0,0,10,3,0,0,0,0,1,3,0.23999999999999994,1.296296296296296,5,1
74.16666666666667,80.83333333333333,89.16666666666667,105.83333333333333,99.16666666666667,99.16666666666667,60,115,75,85,100,100,0,365,0.033333333333333354,-0.13333333333333333,-4,0.13333333333333333,0.03333333333333333,0.0,0.03333333333333333,-0.06666666666666667,13,13,3,4,3,2,1.59,2.9,0,0,0,0,5,10,0,0,0,0,3,1,-0.029999999999999805,0.9910447761194032,6,1
89.16666666666667,88.33333333333333,86.66666666666667,76.66666666666667,103.33333333333333,103.33333333333333,65,130,65,60,110,110,-5,-949,-0.2666666666666667,-0.2,-1,0.16666666666666666,0.0,-0.03333333333333333,-0.23333333333333334,0.0,7,31,3,4,2,0,2.41,3.31,4,0,0,0,2,1,0,0,0,0,10,1,-3.4399999999999995,0.11794871794871797,7,1
74.16666666666667,80.83333333333333,89.16666666666667,105.83333333333333,99.16666666666667,99.16666666666667,65,95,50,35,95,95,0,-586,0.06666666666666668,-0.6,-4,-0.3,0.0,-0.13333333333333333,-0.23333333333333334,0.0,10,16,1,5,4,1,0.66,3.55,0,0,0,0,9,18,0,0,0,0,0,1,-2.4,0.4216867469879518,8,1
120.83333333333333,77.5,75.0,63.333333333333336,104.16666666666667,104.16666666666667,55,120,50,45,135,135,-1,-38,-0.033333333333333354,0.13333333333333333,-4,-0.06666666666666667,0.03333333333333333,0.0,0.06666666666666667,0.0,17,31,4,6,2,0,2.599591731770148,3.38861459370593,0,0,0,0,11,2,0,0,0,0,0,5,-1.3642290307611087,0.516217567892871,9,1
100.83333333333333,92.5,68.33333333333333,65.0,99.16666666666667,99.16666666666667,75,110,100,95,70,70,5,60,0.2333333333333333,0.0,-4,-0.1,0.0,0.0,-0.03333333333333333,0.0,1,16,1,5,4,1,0.38,1.33,0,7,0,0,0,1,0,0,0,0,0,3,-0.51,0.896551724137931,10,1
120.83333333333333,61.666666666666664,66.66666666666667,60.0,100.0,100.0,65,130,65,60,110,110,-1,-849,-0.033333333333333326,1.4,-1,0.3,0.0,-0.1,-0.03333333333333333,0.03333333333333333,15,31,2,5,3,0,0.84,3.13,0,0,0,0,11,10,0,0,0,0,0,1,-2.22,0.3272727272727273,11,1
120.83333333333333,75.0,74.16666666666667,65.83333333333333,104.16666666666667,104.16666666666667,60,115,75,85,100,100,6,-400,0.033333333333333326,0.06666666666666667,-1,0.16666666666666666,0.0,0.0,0.03333333333333333,0.0,10,10,3,5,2,1,2.4,2.58,0,0,0,0,12,7,0,0,0,0,0,2,0.7500000000000002,1.3537735849056605,12,1
